"","model","optval","time","gap","status"
"1","standard",2.91018589615596,0.0219998359680176,0,"OPTIMAL"
"2","standard",3.14291793035893,0.0119998455047607,0,"OPTIMAL"
"3","standard",2.97341771622598,0.0179998874664307,0,"OPTIMAL"
"4","standard",3.25910896058006,0.0120000839233398,0,"OPTIMAL"
"5","standard",3.00259620986554,0.0180001258850098,0,"OPTIMAL"
"6","standard",3.64959988163386,0.0199999809265137,0,"OPTIMAL"
"7","standard",3.68648029877121,0.0210001468658447,0,"OPTIMAL"
"8","standard",2.94246237433571,0.0139999389648438,0,"OPTIMAL"
"9","standard",2.96253157909395,0.0199999809265137,0,"OPTIMAL"
"10","standard",3.71777800331916,0.0160000324249268,0,"OPTIMAL"
"11","standard",3.02110317353563,0.0189998149871826,0,"OPTIMAL"
"12","standard",2.98402431630253,0.0170001983642578,0,"OPTIMAL"
"13","standard",3.41435847997036,0.0190000534057617,0,"OPTIMAL"
"14","standard",3.12162299113484,0.0169999599456787,0,"OPTIMAL"
"15","standard",3.16541857535835,0.0159997940063477,0,"OPTIMAL"
"16","standard",3.07388469281521,0.0130000114440918,0,"OPTIMAL"
"17","standard",2.92942356748239,0.0140001773834229,0,"OPTIMAL"
"18","standard",3.27332122849287,0.0179998874664307,0,"OPTIMAL"
"19","standard",3.76538294339581,0.0160000324249268,0,"OPTIMAL"
"20","standard",3.05499452536372,0.0160000324249268,0,"OPTIMAL"
"21","standard",2.97003729983767,0.0109999179840088,0,"OPTIMAL"
"22","standard",3.11674555685521,0.0139999389648438,0,"OPTIMAL"
"23","standard",3.71051040035678,0.0169999599456787,0,"OPTIMAL"
"24","standard",3.0724215816445,0.0140001773834229,0,"OPTIMAL"
"25","standard",2.91083501882714,0.0190000534057617,0,"OPTIMAL"
"26","standard",3.62379141451073,0.0150001049041748,0,"OPTIMAL"
"27","standard",3.16115138986924,0.0199999809265137,0,"OPTIMAL"
"28","standard",3.08192159016871,0.0169999599456787,0,"OPTIMAL"
"29","standard",2.82361497365473,0.0140001773834229,0,"OPTIMAL"
"30","standard",3.2128720085414,0.0149998664855957,0,"OPTIMAL"
"31","index",2.91018589615596,0.00800013542175293,0,"OPTIMAL"
"32","index",3.14291793035893,0.0120000839233398,0,"OPTIMAL"
"33","index",2.97341771622598,0.00899982452392578,0,"OPTIMAL"
"34","index",3.25910896058006,0.00400018692016602,0,"OPTIMAL"
"35","index",3.00259620986554,0.00300002098083496,0,"OPTIMAL"
"36","index",3.64959988163386,0.0120000839233398,0,"OPTIMAL"
"37","index",3.68648029877121,0.0120000839233398,0,"OPTIMAL"
"38","index",2.94246237433571,0.00399994850158691,0,"OPTIMAL"
"39","index",2.96253157909395,0.00500011444091797,0,"OPTIMAL"
"40","index",3.71777800331916,0.00799989700317383,0,"OPTIMAL"
"41","index",3.02110317353563,0.00200009346008301,0,"OPTIMAL"
"42","index",2.98402431630253,0.00400018692016602,0,"OPTIMAL"
"43","index",3.41435847997036,0.0140001773834229,0,"OPTIMAL"
"44","index",3.12162299113484,0.00300002098083496,0,"OPTIMAL"
"45","index",3.16541857535835,0.00399994850158691,0,"OPTIMAL"
"46","index",3.07388469281521,0.00399994850158691,0,"OPTIMAL"
"47","index",2.92942356748239,0.00799989700317383,0,"OPTIMAL"
"48","index",3.27332122849287,0.00199985504150391,0,"OPTIMAL"
"49","index",3.76538294339581,0.0109999179840088,0,"OPTIMAL"
"50","index",3.05499452536372,0.00399994850158691,0,"OPTIMAL"
"51","index",2.97003729983767,0.0110001564025879,0,"OPTIMAL"
"52","index",3.11674555685521,0.00300002098083496,0,"OPTIMAL"
"53","index",3.71051040035678,0.0139999389648438,0,"OPTIMAL"
"54","index",3.0724215816445,0.00499987602233887,0,"OPTIMAL"
"55","index",2.91083501882714,0.00900006294250488,0,"OPTIMAL"
"56","index",3.62379141451073,0.0190000534057617,0,"OPTIMAL"
"57","index",3.16115138986924,0.00200009346008301,0,"OPTIMAL"
"58","index",3.08192159016871,0.00999999046325684,0,"OPTIMAL"
"59","index",2.82361497365473,0.0109999179840088,0,"OPTIMAL"
"60","index",3.2128720085414,0.00799989700317383,0,"OPTIMAL"
