"","model","optval","time","gap","status"
"1","standard",1.62652718892647,0.118000030517578,0,"OPTIMAL"
"2","standard",1.65683589453553,0.115999937057495,0,"OPTIMAL"
"3","standard",1.69911192703135,0.0989999771118164,0,"OPTIMAL"
"4","standard",1.3465471169964,0.114999771118164,0,"OPTIMAL"
"5","standard",1.16595854716482,0.0850000381469727,0,"OPTIMAL"
"6","standard",1.63963396221629,0.0920000076293945,0,"OPTIMAL"
"7","standard",1.77011683740278,0.178999900817871,0,"OPTIMAL"
"8","standard",1.17674357572795,0.0930001735687256,0,"OPTIMAL"
"9","standard",1.11458137570532,0.136000156402588,0,"OPTIMAL"
"10","standard",1.70994761330485,0.154000043869019,0,"OPTIMAL"
"11","standard",1.16946087734847,0.0969998836517334,0,"OPTIMAL"
"12","standard",1.24617743451029,0.150000095367432,0,"OPTIMAL"
"13","standard",1.52967428821599,0.148000001907349,0,"OPTIMAL"
"14","standard",1.33828389572394,0.0529999732971191,0,"OPTIMAL"
"15","standard",1.24430683623759,0.106000185012817,0,"OPTIMAL"
"16","standard",1.23742027289845,0.125999927520752,0,"OPTIMAL"
"17","standard",1.70196591370271,0.147000074386597,0,"OPTIMAL"
"18","standard",1.27960707023936,0.107000112533569,0,"OPTIMAL"
"19","standard",1.8650935623269,0.129999876022339,0,"OPTIMAL"
"20","standard",1.22192494115217,0.105000019073486,0,"OPTIMAL"
"21","standard",1.84647580104193,0.105000019073486,0,"OPTIMAL"
"22","standard",1.19839691194675,0.125,0,"OPTIMAL"
"23","standard",1.76324887685665,0.123000144958496,0,"OPTIMAL"
"24","standard",1.14597257273363,0.152000188827515,0,"OPTIMAL"
"25","standard",1.75151053451418,0.150000095367432,0,"OPTIMAL"
"26","standard",1.72851129922274,0.131999969482422,0,"OPTIMAL"
"27","standard",1.27093019980219,0.0770001411437988,0,"OPTIMAL"
"28","standard",1.77591959578775,0.121999979019165,0,"OPTIMAL"
"29","standard",1.62520894343548,0.154999971389771,0,"OPTIMAL"
"30","standard",1.75072877689222,0.127000093460083,0,"OPTIMAL"
"31","index",1.62652718892647,0.0139999389648438,0,"OPTIMAL"
"32","index",1.65683589453553,0.0169999599456787,0,"OPTIMAL"
"33","index",1.69911192703135,0.0150001049041748,0,"OPTIMAL"
"34","index",1.3465471169964,0.00300002098083496,0,"OPTIMAL"
"35","index",1.16595854716482,0.00399994850158691,0,"OPTIMAL"
"36","index",1.63963396221629,0.0209999084472656,0,"OPTIMAL"
"37","index",1.77011683740278,0.0140001773834229,0,"OPTIMAL"
"38","index",1.17674357572795,0.00199985504150391,0,"OPTIMAL"
"39","index",1.11458137570532,0.00300002098083496,0,"OPTIMAL"
"40","index",1.70994761330485,0.0230000019073486,0,"OPTIMAL"
"41","index",1.16946087734847,0.00300002098083496,0,"OPTIMAL"
"42","index",1.24617743451029,0.00300002098083496,0,"OPTIMAL"
"43","index",1.52967428821599,0.0160000324249268,0,"OPTIMAL"
"44","index",1.33828389572394,0.00300002098083496,0,"OPTIMAL"
"45","index",1.24430683623759,0.00300002098083496,0,"OPTIMAL"
"46","index",1.23742027289845,0.00399994850158691,0,"OPTIMAL"
"47","index",1.70196591370271,0.0120000839233398,0,"OPTIMAL"
"48","index",1.27960705048113,0.00300002098083496,0,"OPTIMAL"
"49","index",1.8650935623269,0.0120000839233398,0,"OPTIMAL"
"50","index",1.22192494115217,0.00300002098083496,0,"OPTIMAL"
"51","index",1.84647580104193,0.0130000114440918,0,"OPTIMAL"
"52","index",1.19839691194675,0.00300002098083496,0,"OPTIMAL"
"53","index",1.76324887685665,0.0160000324249268,0,"OPTIMAL"
"54","index",1.14597257273363,0.00299978256225586,0,"OPTIMAL"
"55","index",1.75151053451418,0.0130000114440918,0,"OPTIMAL"
"56","index",1.72851129922274,0.0149998664855957,0,"OPTIMAL"
"57","index",1.27093019980219,0.00300002098083496,0,"OPTIMAL"
"58","index",1.77591959578775,0.0120000839233398,0,"OPTIMAL"
"59","index",1.62520894343548,0.0169999599456787,0,"OPTIMAL"
"60","index",1.75072877689222,0.0109999179840088,0,"OPTIMAL"
